* Site   Longitude  Latitude   Ve   dVe    Vn   dVn   Cen      Vu  dVu  (mm/yr)
CMP9_CGP -118.4114   34.3532 -24.68 0.10  22.63 0.10  0.000  -0.60 0.10
DSME_CGP -117.2495   33.0365 -27.15 0.10  27.09 0.10  0.000  -0.60 0.10
HNPS_CGP -115.6353   33.7050  -4.86 0.10   2.12 0.10  0.000  -0.60 0.10
IMPS_CGP -115.1451   34.1576  -2.72 0.10   0.67 0.10  0.000  -0.60 0.10
KBRC_CGP -119.0082   34.3985 -26.63 0.10  23.90 0.10  0.000  -0.60 0.10
NDAP_CGP -114.6186   34.7677  -2.44 0.10  -0.48 0.10  0.000  -0.60 0.10
OVLS_CGP -119.1419   34.3274 -27.75 0.10  27.34 0.10  0.000  -0.60 0.10
P231_CGP -121.9054   36.6217 -28.39 0.10  34.01 0.10  0.000  -0.60 0.20
P478_CGP -117.0716   33.2357 -26.39 0.10  26.14 0.10  0.000  -0.60 0.10
P508_CGP -115.4287   33.2478  -4.04 0.10   2.16 0.10  0.000  -0.60 0.10
P590_CGP -117.3647   35.1168  -7.42 0.10  10.12 0.10  0.000  -0.60 0.10
P592_CGP -117.3032   35.2386  -6.79 0.10   9.71 0.10  0.000  -0.60 0.10
P596_CGP -116.8895   35.9982  -4.39 0.10   2.69 0.10  0.000  -0.60 0.10
PALX_CGP -116.0638   31.5591 -30.97 0.10  29.45 0.10  0.000  -0.60 0.30
PHLB_CGP -117.6945   34.9254  -9.49 0.10  12.82 0.10  0.000  -0.60 0.10
PTAX_CGP -115.4563   32.3775 -19.73 0.10  25.47 0.10  0.000  -0.60 0.20
SNI1_CGP -119.5244   33.2479 -30.71 0.10  33.85 0.10  0.000  -0.60 0.10
VONS_CGP -116.6229   36.5941  -2.95 0.10   0.71 0.10  0.000  -0.60 0.40
VTIS_CGP -118.2938   33.7126 -27.50 0.10  28.89 0.10  0.000  -0.60 0.10
ARGU_CGP -117.5219   36.0500  -6.94 0.10   5.97 0.10  0.000  -0.50 0.30
BSRY_CGP -117.0120   34.9186  -8.53 0.10   9.62 0.10  0.000  -0.50 0.10
ECFS_CGP -117.4117   33.6477 -24.63 0.10  25.84 0.10  0.000  -0.50 0.10
NSSS_CGP -116.9727   32.5793 -27.52 0.10  27.71 0.10  0.000  -0.50 0.10
P091_CGP -117.5315   36.6143  -4.83 0.10   2.97 0.10  0.000  -0.50 0.10
P172_CGP -121.7672   36.2281 -28.95 0.10  34.97 0.10  0.000  -0.50 0.10
P284_CGP -120.9068   35.9333 -26.72 0.10  31.64 0.10  0.000  -0.50 0.20
P526_CGP -120.8697   35.6360 -26.07 0.10  33.22 0.10  0.000  -0.50 0.30
P588_CGP -117.2676   34.7854  -9.78 0.10  11.90 0.10  0.000  -0.50 0.10
P594_CGP -117.3901   35.8967  -6.46 0.10   5.63 0.10  0.000  -0.50 0.10
P595_CGP -117.4028   35.6976  -7.00 0.10   7.04 0.10  0.000  -0.50 0.10
RAAP_CGP -116.9172   33.0422 -27.02 0.10  26.40 0.10  0.000  -0.50 0.10
SCIP_CGP -118.4879   32.9144 -30.29 0.10  32.55 0.10  0.000  -0.50 0.10
BATM_CGP -116.5116   36.4035  -2.87 0.10   0.68 0.10  0.000  -0.40 0.30
CICE_CGP -116.6674   31.8713 -29.15 0.10  29.12 0.10  0.000  -0.40 0.30
CPBN_CGP -117.5730   35.0717  -8.15 0.10  11.59 0.10  0.000  -0.40 0.10
FMVT_CGP -118.8840   34.3563 -27.42 0.10  27.56 0.10  0.000  -0.40 0.10
LICE_CGP -116.4013   36.8566  -2.97 0.10   0.34 0.10  0.000  -0.40 0.40
MIG1_CGP -120.3514   34.0383 -30.63 0.10  35.08 0.10  0.000  -0.40 0.10
NEVA_CGP -116.3103   36.8504  -2.97 0.10   0.32 0.10  0.000  -0.40 0.40
P171_CGP -121.7925   36.4855 -28.21 0.10  35.08 0.10  0.000  -0.40 0.10
P238_CGP -121.4528   36.8491 -17.30 0.10  24.59 0.10  0.000  -0.40 0.20
P472_CGP -117.1047   32.8892 -27.46 0.10  26.95 0.10  0.000  -0.40 0.10
P501_CGP -115.3979   32.8758  -3.02 0.10   5.85 0.10  0.000  -0.40 0.10
P511_CGP -115.2961   33.8869  -3.49 0.10   1.12 0.10  0.000  -0.40 0.10
P580_CGP -117.1922   35.6209  -6.30 0.10   6.37 0.10  0.000  -0.40 0.10
P583_CGP -117.5434   34.9870  -8.56 0.10  11.68 0.10  0.000  -0.40 0.10
P593_CGP -117.2051   35.3879  -6.05 0.10   8.38 0.10  0.000  -0.40 0.10
PSDM_CGP -117.8071   34.0918 -24.17 0.10  21.95 0.10  0.000  -0.40 0.20
ROGE_CGP -117.0855   36.2179  -4.27 0.10   3.34 0.10  0.000  -0.40 0.30
CAT1_CGP -118.4830   33.4458 -28.47 0.10  31.35 0.10  0.000  -0.30 0.10
CRFP_CGP -117.0997   34.0391 -16.72 0.10  17.75 0.10  0.000  -0.30 0.10
HIVI_CGP -117.7995   34.7599 -11.74 0.20  14.25 0.10  0.000  -0.30 0.20
LITT_CGP -116.3082   36.7459  -2.89 0.10   0.32 0.10  0.000  -0.30 0.10
LNMT_CGP -116.9397   35.0902  -6.79 0.10   7.60 0.10  0.000  -0.30 0.10
MERC_CGP -115.9790   36.6325  -2.78 0.10   0.12 0.10  0.000  -0.30 0.10
MONP_CGP -116.4223   32.8919 -26.80 0.10  25.75 0.10  0.000  -0.30 0.10
NBPS_CGP -116.1482   34.5086  -2.33 0.10   2.27 0.10  0.000  -0.30 0.40
P092_CGP -117.4068   36.8042  -4.48 0.10   2.44 0.10  0.000  -0.30 0.10
P093_CGP -117.9941   36.6060  -6.98 0.10   5.31 0.10  0.000  -0.30 0.10
P210_CGP -121.7318   36.8161 -27.64 0.10  31.96 0.10  0.000  -0.30 0.10
P233_CGP -121.4203   36.8004 -17.50 0.10  24.88 0.10  0.000  -0.30 0.10
P462_CGP -116.6287   36.0713  -3.25 0.10   0.81 0.10  0.000  -0.30 0.10
P463_CGP -117.1647   36.0225  -4.82 0.10   3.77 0.10  0.000  -0.30 0.10
P464_CGP -117.4100   36.1590  -5.71 0.10   4.54 0.10  0.000  -0.30 0.10
P466_CGP -117.7895   36.5312  -6.17 0.10   4.55 0.10  0.000  -0.30 0.10
P591_CGP -118.0165   35.1524  -8.78 0.10  12.41 0.10  0.000  -0.30 0.10
P597_CGP -116.8884   35.7106  -4.75 0.10   4.09 0.10  0.000  -0.30 0.10
P610_CGP -115.7637   34.4257  -2.82 0.10   1.36 0.10  0.000  -0.30 0.10
